word,valence,arousal,dominance,n_collapsed
courthouse,4.61,4.2,3.5,1
courtroom,2.84,4.67,3.45,1
courtship,6.0,5.38,5.37,1
courtside,6.0,4.24,6.0,1
courtyard,5.53,3.43,5.05,1
cousin,6.11,2.6,5.28,1
cove,5.67,3.17,6.06,1
coven,5.43,4.8,4.78,1
covenant,5.21,4.0,5.35,1
cover,5.59,3.76,5.78,1
coverage,5.77,3.19,5.96,1
covert,3.79,4.32,4.96,1
covet,4.48,4.04,5.0,1
coveted,5.95,4.88,4.39,1
cow,5.42,2.95,5.24,1
coward,2.42,4.09,4.09,1
cowardice,3.05,4.25,3.64,1
cowardly,2.85,5.14,3.85,1
cowboy,5.43,4.43,5.67,1
cowgirl,6.11,5.3,5.63,1
cowhand,4.65,3.33,5.44,1
coworker,5.0,3.57,4.55,1
coy,5.5,3.72,5.5,1
coyote,4.05,5.55,4.38,1
cozy,7.28,3.56,6.69,1
crab,5.81,4.13,4.52,1
crabby,3.16,6.0,5.09,1
crack,2.68,5.25,5.42,1
cracker,5.11,3.64,5.26,1
crackerjack,7.21,5.13,4.94,1
crackle,5.53,5.27,4.86,1
crackpot,3.38,5.1,4.05,1
cradle,6.1,3.67,4.86,1
craft,6.38,4.04,6.36,1
craftsman,6.71,4.11,6.23,1
craftsmanship,6.89,4.52,6.3,1
crafty,5.73,5.04,6.29,1
cram,4.68,4.19,5.18,1
cramp,2.91,4.73,4.5,1
cranberry,6.36,3.64,5.74,1
cranberry juice,6.0,4.25,5.86,1
cranial,5.37,4.62,4.83,1
cranium,5.81,3.55,5.15,1
crank,3.85,4.67,5.17,1
cranky,3.0,4.71,4.36,1
cranny,4.68,3.46,4.61,1
crap,3.44,4.62,4.11,1
crappy,2.35,5.26,3.92,1
crash,2.9,4.55,3.3,1
crass,3.73,4.73,5.11,1
crate,4.8,2.72,5.45,1
crater,5.15,4.84,4.79,1
crave,5.41,5.04,5.0,1
crawl,3.95,3.62,4.95,1
crayon,5.76,2.91,5.93,1
craze,4.415,6.35,4.64,1
craziness,3.82,6.83,4.32,1
crazy,5.14,5.9,4.19,1
creak,4.615,4.585,4.995,1
cream,6.33,4.275,5.835,1
creamer,5.47,2.81,6.09,1
creamy,6.48,3.12,6.06,1
crease,4.86,4.0,5.63,1
create,7.86,6.26,7.0,1
creation,6.85,5.35,6.38,1
creative,7.06,4.86,6.78,1
creativity,7.73,5.3,6.79,1
creator,6.45,4.89,6.12,1
creature,6.06,4.77,4.82,1
credence,5.79,4.64,5.26,1
credibility,7.0,4.05,5.92,1
credible,6.95,3.95,6.05,1
credit,5.0,4.38,5.0,1
credit card,5.55,4.52,5.15,1
creed,5.25,3.67,4.45,1
creek,6.32,2.67,5.0,1
creep,2.95,4.78,4.63,1
creeper,3.61,5.68,3.86,1
creepy,2.52,5.54,4.33,1
cremation,4.0,5.29,4.05,1
crepe,6.48,3.62,5.55,1
crescendo,5.58,4.91,5.8,1
crescent,5.9,3.32,5.81,1
crest,4.9,3.39,6.06,1
cretin,4.47,3.71,4.95,1
crevice,4.67,4.58,4.62,1
crew,5.83,3.38,5.0,1
crewman,5.14,3.2,4.91,1
crib,6.43,4.26,4.77,1
cricket,5.71,3.22,4.88,1
crime,1.95,5.68,3.31,1
criminal,2.11,4.49,4.09,1
crimp,4.95,3.41,4.37,1
crimson,5.67,4.52,5.04,1
cringe,3.24,5.85,3.57,1
cripple,2.59,4.465,2.675,1
crisis,2.05,6.29,3.77,1
crisp,5.23,3.95,6.14,1
crispy,6.18,5.0,6.08,1
critic,4.1,4.25,4.86,1
critical,3.95,4.95,4.22,1
criticism,3.84,5.95,4.17,1
criticize,2.41,5.27,4.7,1
critique,4.8,3.85,6.0,1
critter,5.4,4.05,4.43,1
croak,3.29,4.52,3.58,1
croc,4.0,5.06,4.79,1
crock,5.1,4.32,5.58,1
crocodile,3.15,6.48,3.47,1
croissant,7.0,4.5,6.04,1
crook,2.86,4.62,3.82,1
crooked,3.17,4.18,3.18,1
crop,5.88,3.19,5.09,1
croquet,5.63,3.5,5.64,1
cross,5.67,3.05,4.0,1
cross country,5.8,4.65,5.96,1
crossbow,4.91,5.38,5.96,1
crossfire,4.16,5.9,4.65,1
crossover,5.44,3.95,5.7,1
crosswalk,5.25,3.52,5.88,1
crossword,6.58,3.74,5.84,1
crotch,4.62,4.96,5.0,1
crouch,4.79,4.05,4.87,1
crow,4.32,3.55,5.4,1
crowbar,4.81,3.61,5.45,1
crowd,4.48,5.15,5.21,1
crowded,3.2,3.95,3.45,1
crown,6.0,4.52,5.62,1
crucial,5.16,4.14,4.91,1
crucifix,4.1,4.19,4.8,1
crucifixion,2.82,5.62,3.83,1
crucify,2.26,5.6,3.11,1
crud,4.05,3.89,4.1,1
crude,3.24,4.51,3.35,1
cruel,2.73,5.07,4.78,1
cruelty,2.37,5.9,2.64,1
cruise,6.47,4.32,5.68,1
cruise ship,7.05,4.42,4.65,1
cruiser,5.32,2.9,5.7,1
crumb,5.14,2.95,4.62,1
crumble,4.25,4.0,4.14,1
crummy,3.9,4.26,4.38,1
crunch,4.79,4.17,5.0,1
crunchy,5.86,4.45,5.52,1
crusade,4.24,6.2,4.71,1
crusader,5.63,5.09,4.63,1
crush,3.795,5.335,4.1,1
crusher,4.8,4.65,4.29,1
crust,5.76,3.62,5.96,1
crusty,4.29,3.17,4.75,1
crutch,3.64,3.67,4.08,1
cry,3.22,5.45,2.56,1
crybaby,2.95,5.05,3.21,1
crypt,2.67,4.13,4.0,1
cryptic,3.86,5.53,4.33,1
crystal,6.75,4.1,6.72,1
cub,6.71,3.95,4.24,1
cubby,5.0,3.71,5.65,1
cube,4.75,3.09,5.53,1
cubic,4.7,3.0,5.6,1
cubicle,3.8,3.05,3.86,1
cuckold,3.6,3.78,4.18,1
cuckoo,4.79,4.57,4.53,1
cucumber,6.47,3.17,5.86,1
cuddle,7.6,3.83,6.65,1
cue,5.84,4.35,4.62,1
cuff,4.81,3.56,4.16,1
cuisine,6.88,4.51,5.75,1
culinary,6.33,4.5,5.85,1
culmination,5.85,3.43,5.2,1
culprit,2.9,5.54,3.82,1
cult,2.77,5.48,3.61,1
cultivate,5.73,3.81,6.23,1
cultural,6.9,4.55,5.41,1
culture,6.28,4.06,5.71,1
cultured,6.15,3.33,6.4,1
cunning,5.05,4.9,6.58,1
cunt,3.7,6.1,3.24,1
cup,5.94,2.6,5.28,1
cupboard,4.81,3.52,5.65,1
cupcake,6.9,4.22,5.85,1
curator,6.42,2.73,5.11,1
curb,4.65,3.59,5.47,1
curd,5.19,4.37,4.72,1
cure,7.81,4.5,5.45,1
curfew,4.14,4.0,5.0,1
curiosity,6.37,5.9,6.21,1
curious,6.58,5.74,6.88,1
curl,5.359999999999999,3.74,5.4350000000000005,1
currency,5.9,4.05,5.3,1
current,5.53,3.25,5.9,1
curriculum,5.3,3.56,4.08,1
curry,5.4,3.17,5.5,1
curse,2.9,5.2,5.15,1
curt,4.05,3.2,4.32,1
curtain,5.4,3.125,6.04,1
curtsy,6.35,4.6,5.76,1
curve,5.81,4.52,5.14,1
curved,5.24,3.91,5.7,1
cushion,5.9,2.76,6.44,1
cushy,5.95,4.23,5.81,1
cuss,4.0,6.25,5.35,1
custard,5.45,3.5,5.96,1
custodial,5.05,3.42,4.9,1
custodian,3.79,2.67,4.45,1
custody,4.74,4.14,5.54,1
custom,5.29,4.0,5.56,1
customary,5.0,3.44,4.94,1
customer,5.86,3.4,6.16,1
customized,6.91,4.87,6.58,1
cut,3.9,5.07,4.55,1
cute,7.56,5.05,6.02,1
cutie,7.43,4.62,5.44,1
cutlass,5.0,4.55,5.26,1
cutoff,3.14,3.92,5.0,1
cutter,4.05,4.35,5.88,1
cutthroat,3.14,5.65,4.27,1
cutting board,5.35,3.83,6.25,1
cyanide,2.7,5.72,4.92,1
cyberspace,5.73,5.04,5.37,1
cycle,5.64,4.42,5.81,1
cyclone,3.47,5.09,3.18,1
cylinder,5.45,3.14,4.57,1
cynic,3.45,4.68,4.81,1
cynical,3.3,4.78,4.95,1
cynicism,3.41,5.0,4.79,1
cyst,2.5,4.28,3.17,1
cystic,3.19,3.55,4.26,1
czar,4.53,4.79,4.36,1
dab,5.0,3.11,5.62,1
dabble,5.48,3.05,5.41,1
dad,7.14,4.05,6.12,1
daddy,7.27,4.24,5.78,1
daft,4.5,2.75,4.82,1
dagger,4.38,5.79,4.83,1
daily,5.74,4.2,5.38,1
dainty,6.42,2.7,5.2,1
daiquiri,5.68,4.95,5.29,1
dairy,6.09,3.9,6.39,1
daisy,7.48,3.95,5.37,1
dam,4.58,3.67,5.26,1
damage,2.98,4.86,3.46,1
dame,6.1,4.22,5.54,1
damn,4.32,5.1,4.39,1
damnation,3.14,5.77,3.55,1
damp,4.05,2.8,3.95,1
damper,4.3,3.59,4.55,1
damsel,5.74,4.44,4.29,1
dance,7.27,5.48,6.28,1
dancer,6.64,4.52,5.78,1
dandruff,3.05,4.41,3.57,1
dandy,6.55,4.0,6.12,1
danger,2.66,5.84,3.64,1
dangerous,2.33,6.81,2.56,1
dangle,4.76,4.25,3.95,1
dank,3.95,3.0,3.77,1
dare,5.335,5.869999999999999,5.105,1
daredevil,4.89,6.33,5.28,1
daresay,5.35,3.76,4.88,1
dark,5.08,4.09,4.61,1
darken,3.91,3.815,4.84,1
darkness,4.71,4.08,4.82,1
darkroom,4.9,3.61,5.76,1
darling,7.32,3.95,5.44,1
darn,3.81,3.17,5.56,1
dart,4.76,3.87,5.61,1
dash,5.835,4.285,5.955,1
dashboard,5.25,3.15,5.32,1
database,4.75,3.33,6.12,1
date,7.18,4.33,5.11,1
daughter,6.73,5.0,5.06,1
dawdle,4.77,3.29,4.86,1
dawn,6.74,3.1,4.98,1
day,6.36,3.62,5.59,1
daybreak,7.16,3.95,5.3,1
daycare,5.35,3.39,4.92,1
daydream,7.15,3.2,6.77,1
daylight,6.95,4.05,5.88,1
daytime,7.58,4.0,5.58,1
daze,4.14,4.5,4.58,1
dazzle,6.48,5.66,6.02,1
deacon,5.09,3.87,5.11,1
deactivate,3.95,4.58,6.19,1
dead,2.02,3.91,2.66,1
deadbeat,2.81,4.32,3.89,1
deadline,3.19,5.74,4.53,1
deadly,1.9,5.04,3.73,1
deaf,3.19,4.27,2.86,1
deafening,3.71,4.56,3.63,1
deal,6.14,3.9,6.12,1
dealer,4.18,5.42,5.0,1
dealership,5.15,2.9,4.41,1
death,1.89,5.53,3.42,1
deathbed,1.79,4.05,2.96,1
deathly,1.95,6.05,2.95,1
debacle,4.2,4.78,4.06,1
debatable,5.62,5.8,4.86,1
debate,4.95,4.86,5.96,1
debauchery,4.21,5.28,3.88,1
debilitating,3.0,4.41,3.0,1
debrief,4.82,3.545,5.495,1
debris,4.2,4.23,4.68,1
debt,1.95,5.93,3.71,1
debut,5.81,3.41,5.52,1
debutante,5.0,4.23,5.81,1
decade,4.75,3.61,4.79,1
decadence,5.21,4.32,6.12,1
decadent,6.09,4.05,5.45,1
decaf,3.62,3.0,5.41,1
decathlon,4.67,4.5,5.71,1
decay,2.605,4.635,2.99,1
deceased,2.73,4.86,2.64,1
decedent,5.3,3.15,4.81,1
deceit,2.89,5.62,4.24,1
deceitful,2.6,5.18,4.11,1
deceive,2.95,5.9,4.58,1
decency,5.55,3.36,6.21,1
decent,6.27,4.15,6.74,1
deception,2.36,5.79,3.81,1
deceptive,3.73,4.95,3.86,1
decide,6.28,3.1,6.28,1
decimal,4.68,3.35,5.52,1
decimeter,4.82,2.5,4.76,1
decipher,5.09,4.39,5.68,1
decision,5.5,3.43,6.89,1
decisive,6.78,3.95,5.76,1
deck,5.68,3.25,5.38,1
declaration,5.67,4.24,5.24,1
declare,5.42,4.4,6.13,1
decline,3.19,3.6,3.71,1
deco,5.29,3.74,4.9,1
decode,5.5,4.59,6.58,1
decoder,6.21,3.43,5.57,1
decompose,2.42,4.17,3.4,1
decomposition,3.16,4.0,3.89,1
decompress,4.43,3.52,4.79,1
decompression,3.75,2.91,4.78,1
decontamination,4.33,4.96,5.0,1
decor,5.95,3.38,7.32,1
decorate,6.26,4.33,6.95,1
decoration,6.71,4.05,6.4,1
decorative,7.52,4.76,6.45,1
decorator,6.43,3.15,5.64,1
decorum,5.5,2.91,5.73,1
decoy,4.61,3.91,4.95,1
decrease,4.16,3.05,3.68,1
decree,5.33,3.9,4.53,1
decrepit,3.05,4.83,3.46,1
decryption,4.81,4.12,4.95,1
dedicate,6.48,3.35,5.73,1
dedication,7.38,4.36,7.18,1
deduce,5.29,3.04,5.67,1
deduct,4.24,4.11,4.86,1
deductible,4.71,4.29,5.0,1
deduction,5.14,3.23,5.22,1
deed,5.89,3.0,5.92,1
deejay,5.91,3.95,5.68,1
deem,4.74,3.29,5.57,1
deep,5.44,3.9,4.94,1
deer,6.89,3.95,4.89,1
defamation,2.9,5.62,2.56,1
default,4.16,4.57,4.7,1
defeat,3.165,4.4350000000000005,3.1500000000000004,1
defeatist,3.37,3.5,3.35,1
defect,2.89,4.14,3.37,1
defective,3.52,4.17,3.67,1
defector,4.35,3.75,4.52,1
defend,6.3,4.55,6.64,1
defendant,4.05,4.14,3.95,1
defender,5.05,3.76,4.9,1
defense,5.36,5.11,5.53,1
defenseless,2.68,4.9,3.95,1
defensive,4.65,4.28,4.08,1
defer,4.5,2.7,4.08,1
defiance,4.15,5.86,5.44,1
defiant,4.12,5.9,6.02,1
defibrillator,3.45,5.0,5.05,1
deficiency,2.74,4.2,4.15,1
deficient,3.63,3.56,3.88,1
deficit,2.95,4.19,4.18,1
define,5.57,3.95,5.31,1
definite,5.79,4.19,5.39,1
definition,5.63,3.14,5.68,1
definitive,5.57,3.83,5.24,1
deflect,5.1,3.68,5.37,1
deformed,2.26,4.27,3.05,1
deformity,3.18,4.71,3.82,1
defrost,4.86,3.48,5.81,1
deft,4.67,3.0,5.32,1
defuse,5.78,4.68,5.77,1
defy,4.84,5.43,5.3,1
degenerate,2.7,4.68,2.95,1
degeneration,3.48,4.18,3.67,1
degradation,2.85,4.26,3.39,1
degrade,2.62,4.95,4.4,1
degree,5.63,4.1,5.0,1
dehydration,3.38,4.68,3.32,1
delay,3.25,3.525,3.475,1
delegate,5.15,3.72,6.32,1
delegation,5.2,3.62,5.76,1
delete,4.0,3.71,5.39,1
deli,5.42,4.3,4.79,1
deliberate,4.8,3.48,6.12,1
deliberation,5.19,3.95,4.8,1
delicacy,7.0,5.0,5.52,1
delicate,6.38,3.09,5.04,1
delicatessen,6.4,4.45,6.54,1
delicious,7.38,4.92,5.8,1
delight,7.975,5.01,6.755,1
delightful,7.38,6.16,6.76,1
delinquency,2.55,5.27,4.14,1
delinquent,3.45,4.9,2.86,1
delirious,4.32,5.81,4.61,1
delirium,3.4,4.94,3.27,1
deliver,6.0,4.75,6.74,1
deliverance,5.73,3.95,6.05,1
delivery,6.0,4.04,5.37,1
delta,5.3,3.32,6.15,1
delude,3.62,3.95,4.35,1
deluge,4.1,4.7,4.11,1
delusion,3.3,4.6,3.91,1
delusional,3.29,5.8,3.81,1
deluxe,6.76,4.96,6.59,1
demand,4.1,5.85,5.14,1
demeaning,2.62,3.74,4.17,1
demeanor,5.32,2.9,5.3,1
demented,3.11,4.86,4.36,1
dementia,2.85,5.05,1.68,1
demise,3.0,4.18,3.17,1
demo,5.65,3.91,5.57,1
democracy,6.16,5.05,5.58,1
democrat,5.54,5.65,5.61,1
democratic,5.7,4.33,6.62,1
demographic,4.41,3.73,5.75,1
demolish,2.67,4.5,4.45,1
demolition,3.91,5.23,4.38,1
demon,3.0,5.34,3.4,1
demonic,3.05,6.24,3.52,1
demonstrate,5.47,4.14,6.0,1
demonstration,5.5,3.53,5.2,1
demure,4.55,3.35,5.81,1
den,5.11,2.86,5.68,1
deniability,3.89,4.5,5.71,1
denial,3.57,4.85,4.05,1
denim,6.0,3.67,5.76,1
denominator,4.61,4.09,5.25,1
denounce,4.24,4.08,4.0,1
dense,4.68,3.59,5.08,1
density,5.15,3.55,4.55,1
dent,3.52,3.46,4.95,1
dental,4.73,4.79,3.62,1
dentist,3.84,4.37,4.7,1
deny,3.81,5.63,4.29,1
deodorant,6.09,3.73,6.33,1
depart,4.05,3.9,4.36,1
department,5.33,2.5,4.83,1
departmental,4.67,4.12,4.71,1
departure,4.05,3.65,5.09,1
depend,5.0,4.45,6.21,1
dependable,7.24,3.5,6.3,1
dependence,3.6,3.55,4.0,1
dependency,3.71,4.26,3.71,1
dependent,4.5,3.73,4.37,1
depict,4.74,3.88,5.71,1
deplorable,3.9,4.73,4.0,1
deploy,4.25,4.96,4.9,1
deployment,3.32,5.95,3.71,1
deport,3.14,3.84,3.73,1
deportation,3.57,4.42,4.04,1
depose,4.2,4.3,5.0,1
deposit,6.25,4.5,6.37,1
deposition,3.53,4.18,4.12,1
depository,4.76,4.05,5.58,1
depot,5.18,3.19,5.45,1
depravity,3.05,4.36,3.89,1
depress,2.475,3.0700000000000003,3.62,1
depressed,2.27,4.25,3.91,1
depression,2.44,5.2,3.33,1
depressive,2.64,3.48,3.64,1
deprivation,2.58,4.57,3.38,1
deprive,3.37,3.72,4.24,1
depth,5.8,4.35,5.24,1
deputy,5.3,4.05,5.52,1
derail,3.86,4.85,4.22,1
derelict,3.78,4.4,4.22,1
derivative,4.7,3.72,4.59,1
derive,4.72,2.9,5.95,1
dermatologist,6.0,3.61,4.53,1
derogatory,2.7,3.95,3.68,1
descend,4.67,3.17,5.4,1
descendant,5.26,4.24,5.48,1
descent,5.3,3.9,4.32,1
describe,5.9,2.95,5.55,1
description,5.24,3.64,5.54,1
descriptive,5.74,3.45,6.48,1
desecrate,3.05,4.12,4.1,1
desecration,2.94,5.1,3.84,1
desert,5.36,3.5,5.58,1
deserter,3.27,4.97,4.31,1
desertion,4.0,3.67,4.05,1
deserve,6.734999999999999,4.425,6.745,1
design,6.8,3.95,5.8,1
designate,5.359999999999999,4.225,5.375,1
designer,5.57,5.0,5.44,1
desirable,6.95,6.25,6.15,1
desire,7.05,6.2,6.07,1
desist,4.27,3.84,4.43,1
desk,5.56,2.45,5.72,1
desolate,2.95,3.22,2.94,1
desolation,2.91,4.04,4.25,1
despair,3.305,4.775,3.845,1
desperado,4.4,3.41,4.14,1
desperate,3.19,5.0,3.21,1
desperation,2.55,6.3,4.0,1
despicable,2.76,4.86,3.24,1
despise,3.08,4.77,4.38,1
despondent,3.81,4.64,3.46,1
dessert,7.2,5.5,5.73,1
destination,6.4,4.57,6.52,1
destiny,6.73,4.76,5.45,1
destitute,2.11,4.2,4.3,1
destroy,2.67,5.16,4.3,1
destroyer,2.16,6.09,3.67,1
destruct,3.5,6.09,4.42,1
destruction,2.53,5.62,3.78,1
destructive,3.11,6.38,4.85,1
detach,4.5,3.19,5.5,1
detached,3.65,3.6,4.95,1
detachment,4.3,3.32,5.93,1
detail,5.67,3.81,7.14,1
detailed,6.1,4.35,5.47,1
detain,3.0,4.25,4.86,1
detect,5.09,4.57,6.32,1
detection,4.63,3.95,5.11,1
detective,5.06,4.55,4.39,1
detector,4.42,4.52,5.59,1
detention,3.28,4.57,4.2,1
deter,4.05,3.86,5.13,1
detergent,5.42,3.25,5.6,1
deteriorate,3.135,5.19,4.015,1
deterioration,2.89,5.0,2.73,1
determination,7.58,5.52,7.06,1
determine,6.0,4.68,7.09,1
deterrent,4.58,4.23,4.89,1
detest,3.05,5.09,4.65,1
detonate,3.26,6.1,3.33,1
detonation,3.4,4.83,5.0,1
detonator,4.3,5.39,5.29,1
detour,3.86,4.58,4.05,1
detriment,3.67,4.4,4.47,1
deuce,4.53,3.5,4.96,1
deutschmark,4.42,3.23,4.25,1
devastating,2.09,5.5,3.96,1
devastation,2.91,5.48,3.09,1
develop,6.05,4.5,6.71,1
developer,5.89,3.75,5.29,1
development,5.25,4.23,6.68,1
deviant,3.35,5.62,4.38,1
deviate,5.1,4.27,5.19,1
deviation,4.9,4.7,4.94,1
device,5.79,3.42,5.95,1
devil,3.24,4.82,4.045,1
devilish,4.22,6.38,5.43,1
devious,3.57,3.83,5.16,1
devise,4.45,4.48,5.15,1
devoid,3.61,3.22,3.82,1
devote,6.345000000000001,4.135,6.63,1
devotion,6.0,4.73,6.3,1
devour,5.21,6.06,4.95,1
devout,4.48,4.13,5.89,1
dew,4.79,3.04,5.67,1
dexterity,6.35,3.26,6.08,1
diabetes,2.74,4.04,3.11,1
diabetic,3.0,3.86,2.73,1
diabolical,3.23,5.32,3.3,1
diagnose,5.0,3.72,4.71,1
diagnosis,4.62,4.0,3.55,1
diagnostic,4.81,4.57,4.33,1
diagonal,5.17,3.29,5.13,1
diagram,5.47,3.71,6.13,1
dial,4.63,3.76,6.89,1
dialect,6.0,4.26,5.35,1
dialogue,6.25,2.86,5.0,1
dialysis,3.24,4.91,3.23,1
diameter,4.76,4.04,5.28,1
diamond,6.88,5.82,5.64,1
diaper,3.71,3.41,4.14,1
diaphragm,4.67,3.96,5.24,1
diarrhea,2.1,6.85,2.58,1
diary,6.0,3.73,6.86,1
dib,5.0,3.05,6.0,1
dibs,5.21,4.62,5.35,1
dice,5.8,4.64,4.56,1
dicey,4.24,4.7,4.29,1
dick,3.06,5.6,3.44,1
dickhead,2.6,5.26,3.5,1
dictate,4.4,3.24,4.96,1
dictation,4.26,2.94,4.47,1
dictator,2.77,5.5,4.19,1
dictatorship,2.62,6.38,2.76,1
diction,4.85,3.73,6.05,1
dictionary,6.05,2.91,5.88,1
diddle,4.75,3.15,4.95,1
die,1.67,6.9,3.28,1
diesel,4.32,3.78,5.29,1
diet,4.42,3.83,5.29,1
differ,5.1,3.26,5.47,1
difference,4.89,3.15,5.44,1
different,5.91,3.95,6.47,1
differential,4.0,3.62,5.05,1
difficult,3.78,4.45,3.78,1
difficulty,2.57,4.21,4.64,1
diffuse,5.04,3.86,4.75,1
dig,5.28,3.67,4.67,1
digest,4.74,2.9,4.92,1
digestion,4.5,3.86,5.21,1
digestive,5.0,4.0,4.71,1
digit,4.84,3.05,4.35,1
digital,6.0,4.36,5.82,1
dignified,6.55,3.48,6.25,1
dignify,5.68,4.24,5.78,1
dignity,7.2,3.71,6.85,1
dike,4.22,4.85,4.92,1
dilation,5.16,4.14,4.19,1
dildo,4.57,5.09,5.48,1
dilemma,4.24,5.19,2.96,1
diligence,5.68,4.63,6.85,1
diligent,6.14,4.33,7.05,1
dill,5.85,3.25,5.76,1
dim,3.37,3.55,4.83,1
dime,5.58,3.52,5.32,1
dimension,5.24,3.73,5.0,1
dimensional,6.16,3.41,4.79,1
diminish,4.05,3.87,5.05,1
diminutive,4.42,3.5,4.62,1
dimwit,3.48,3.5,3.95,1
dine,6.6,4.0,6.05,1
diner,6.75,4.04,6.43,1
dinghy,4.82,4.17,4.67,1
dingo,5.65,4.25,4.8,1
dingy,3.45,4.57,4.89,1
dining,6.77,4.7,6.63,1
dinky,4.1,3.67,4.19,1
dinner,6.4,3.85,6.05,1
dinnertime,6.58,5.2,6.0,1
dinosaur,6.11,5.33,4.41,1
diocese,5.05,4.0,4.54,1
dioxide,4.58,3.95,4.71,1
dip,5.42,3.35,5.2,1
diploma,6.32,5.25,6.82,1
diplomacy,5.53,5.22,5.42,1
diplomat,4.65,3.65,5.67,1
diplomatic,5.9,4.45,5.62,1
dipper,5.39,3.36,5.7,1
dippy,4.26,4.32,5.26,1
dipstick,4.09,3.52,3.8,1
dire,3.0,5.0,4.17,1
direct,5.75,4.29,6.38,1
direction,5.45,3.33,6.18,1
directive,5.7,4.3,5.96,1
director,4.95,3.75,6.89,1
directory,5.21,3.33,6.13,1
dirt,4.5,3.44,4.7,1
dirty,3.17,5.05,5.05,1
disability,2.95,3.9,4.7,1
disable,3.58,3.6,4.04,1
disabled,2.7,3.71,4.52,1
disadvantage,2.68,3.9,3.62,1
disagree,2.84,4.9,5.45,1
disagreeable,3.29,4.26,4.48,1
disagreement,2.86,3.91,5.11,1
disappear,4.1,4.35,5.42,1
disappearance,3.75,4.95,3.91,1
disappoint,3.015,4.19,4.075,1
disappointing,2.79,4.1,4.26,1
disappointment,2.79,4.9,4.08,1
disapproval,3.4,4.23,5.26,1
disapprove,3.55,3.81,5.21,1
disarm,4.38,3.7,5.94,1
disaster,1.71,6.35,2.97,1
disastrous,2.21,4.23,3.89,1
disband,4.0,3.38,5.36,1
disbelief,4.21,5.58,5.22,1
disc,5.6,3.56,5.58,1
discard,4.0,3.71,5.95,1
discerning,4.95,4.26,4.94,1
discharge,3.4,4.94,4.0,1
disciple,4.67,3.52,4.32,1
disciplinary,3.6,4.56,4.58,1
discipline,6.025,5.1,5.84,1
disclose,4.0,4.45,5.89,1
disclosure,4.71,3.15,4.27,1
disco,5.76,5.25,5.24,1
discoloration,3.82,4.05,4.77,1
discomfort,2.84,4.43,3.55,1
disconcerting,3.58,4.36,4.84,1
disconnect,3.81,3.12,4.6,1
discontent,2.75,4.67,3.68,1
discontinue,3.94,3.89,4.41,1
discord,3.58,5.43,4.12,1
discount,5.78,4.62,5.86,1
discourage,3.0400000000000005,3.76,3.81,1
discourse,3.18,4.27,5.2,1
discover,7.18,5.7,6.79,1
discovery,6.81,6.04,6.25,1
discredit,3.14,4.05,4.29,1
discreet,5.05,3.4,6.45,1
discrepancy,3.43,3.75,3.73,1
discretion,5.4,3.57,5.88,1
discretionary,5.53,3.0,5.11,1
discriminate,2.755,4.415,4.5,1
discrimination,2.45,5.62,4.57,1
discuss,5.89,2.76,6.44,1
discussion,6.18,5.0,5.95,1
disdain,3.71,3.21,4.21,1
disdainful,3.13,4.7,4.48,1
disease,1.68,5.5,2.8,1
diseased,2.24,5.48,3.08,1
disembodied,3.73,5.5,4.17,1
disengage,4.05,3.95,5.4,1
disgrace,2.45,4.28,3.32,1
disgraceful,2.35,4.08,2.79,1
disgruntled,3.11,3.55,3.64,1
disguise,4.81,4.36,4.76,1
disgust,2.7566666666666664,5.346666666666667,4.623333333333334,1
dish,5.7,3.57,5.5,1
dishonest,3.0,4.95,5.0,1
dishonesty,2.05,5.39,4.32,1
dishonor,2.37,4.82,3.79,1
dishonorable,2.33,5.76,3.71,1
dishwasher,5.32,3.05,5.21,1
disinfect,5.11,4.0,5.64,1
disinfectant,5.1,2.96,5.8,1
disintegrate,4.32,5.43,4.52,1
disk,5.24,2.95,5.22,1
dislike,3.25,4.27,5.81,1
disloyal,2.27,5.14,3.28,1
disloyalty,2.57,5.77,3.71,1
dismal,2.6,3.29,4.96,1
dismantle,4.74,4.05,4.5,1
dismay,3.1,2.85,3.95,1
dismiss,4.58,3.7,5.08,1
dismissal,4.05,4.48,4.79,1
dismissive,3.4,2.67,4.46,1
dismount,5.05,3.59,6.11,1
disobedience,3.32,4.5,4.41,1
disobey,3.19,5.35,4.33,1
disorder,3.76,4.9,4.19,1
disorderly,2.95,4.85,4.05,1
disorientation,3.57,5.1,3.14,1
disoriented,3.26,4.81,4.0,1
disown,2.29,4.54,3.64,1
disparage,3.0,3.96,3.52,1
dispatch,4.9,3.55,5.32,1
dispatcher,4.59,3.86,4.95,1
dispensary,5.05,4.14,5.08,1
dispense,5.24,2.95,5.45,1
dispenser,5.26,4.18,5.48,1
dispersal,4.91,4.43,5.16,1
disperse,4.19,3.67,5.12,1
displace,2.89,3.8,4.65,1
displacement,3.68,3.86,4.85,1
display,6.19,3.81,6.48,1
displease,3.02,4.965,4.725,1
displeasure,2.52,4.81,4.08,1
disposable,4.0,2.9,3.5,1
disposal,4.0,4.42,4.1,1
dispose,4.0,5.53,4.92,1
disposition,4.81,4.16,5.61,1
disprove,3.9,4.3,4.1,1
dispute,2.52,4.55,4.14,1
disqualify,2.47,4.7,3.45,1
disregard,4.52,3.5,4.88,1
disrespect,2.81,5.35,3.95,1
disrespectful,2.71,4.65,3.7,1
disrupt,3.48,4.87,4.62,1
