word,valence,arousal,dominance,n_collapsed
adventure,7.4,6.36,6.36,1
adventurer,7.0,5.27,5.83,1
adventurous,7.37,6.67,5.71,1
adversary,4.55,4.41,5.0,1
adverse,3.68,3.89,3.35,1
adversity,4.26,3.82,4.63,1
advertise,5.16,4.29,5.74,1
advertisement,4.3,4.14,5.84,1
advertising,4.68,3.25,5.0,1
advice,5.78,3.05,5.83,1
advisable,5.62,4.36,5.86,1
advise,5.44,3.38,6.41,1
advisement,4.55,4.04,5.92,1
adviser,5.68,3.36,6.18,1
advisor,4.74,3.19,5.7,1
advisory,4.95,4.05,4.19,1
advocate,5.25,4.59,7.26,1
aerial,6.04,3.67,5.17,1
aerobics,6.0,5.1,5.7,1
aerodynamic,6.16,4.33,5.1,1
aerospace,5.79,4.52,5.17,1
aesthetic,5.43,2.88,5.5,1
affair,3.1,5.4,5.89,1
affect,5.65,3.61,6.39,1
affection,7.89,5.64,6.6,1
affectionate,7.23,4.77,6.9,1
affidavit,4.38,3.73,4.04,1
affiliation,5.32,3.9,5.3,1
affinity,5.86,4.29,6.55,1
affirmation,5.95,3.95,6.53,1
affirmative,5.94,3.64,6.78,1
affliction,3.76,5.1,4.17,1
afford,6.56,4.33,6.44,1
affordable,7.52,4.11,6.16,1
affront,4.53,4.5,5.04,1
afire,6.05,5.41,4.38,1
afloat,5.57,4.13,4.96,1
aforementioned,5.21,3.5,4.96,1
afraid,2.25,5.12,2.71,1
african,6.42,4.11,5.8,1
afterlife,5.53,4.32,5.86,1
aftermath,4.29,5.38,4.23,1
afternoon,6.68,3.48,5.71,1
aftershave,5.55,3.5,5.81,1
age,4.390000000000001,3.755,3.865,1
agency,5.14,3.17,4.89,1
agenda,5.05,3.62,5.36,1
agent,5.23,3.43,5.65,1
aggravate,2.55,5.9,4.85,1
aggravation,2.48,5.35,4.45,1
aggression,3.18,5.69,4.65,1
aggressive,3.08,5.87,5.49,1
aggressiveness,3.58,6.43,5.21,1
aggressor,2.8,6.55,4.57,1
agile,5.95,4.95,6.09,1
agility,6.55,4.21,6.41,1
agitate,3.36,5.82,4.55,1
agitation,2.84,4.75,3.29,1
aglow,5.84,4.83,5.59,1
agonizing,2.68,6.71,4.04,1
agony,2.46,5.78,4.0,1
agree,7.17,3.62,6.94,1
agreeable,6.9,3.55,6.97,1
agreement,6.75,4.05,6.48,1
agricultural,5.5,3.55,5.74,1
agriculture,6.1,3.05,6.0,1
ahoy,5.58,3.95,5.45,1
aid,4.905,4.15,5.415,1
aide,5.6,4.0,7.05,1
AIDS,1.33,5.0,3.55,1
ailing,2.95,4.52,4.15,1
ailment,3.0,3.68,3.14,1
aim,5.95,4.0,6.5,1
air,6.71,3.25,5.72,1
airbag,5.4,3.64,4.81,1
airborne,5.25,3.52,4.48,1
aircraft,6.3,4.86,5.71,1
aircraft carrier,5.25,4.64,5.85,1
airfield,5.74,4.38,4.82,1
airhead,4.1,4.3,4.19,1
airline,5.36,4.12,4.92,1
airliner,6.05,4.0,4.25,1
airlock,4.85,4.23,5.0,1
airplane,5.25,5.62,4.12,1
airport,6.0,5.5,5.79,1
airship,5.63,4.88,4.43,1
airspace,5.5,4.4,4.91,1
airspeed,4.95,4.33,5.24,1
airstrip,4.76,3.83,5.1,1
airtight,5.1,3.3,4.76,1
airway,4.95,4.0,3.95,1
aisle,5.17,2.5,4.87,1
ajar,5.0,3.26,5.28,1
aka,4.63,3.39,4.4,1
alabaster,5.5,3.95,5.35,1
alarm,3.69,6.675,5.315,1
alarm clock,3.47,5.36,4.82,1
albatross,5.68,3.09,4.91,1
albino,4.9,3.09,4.05,1
album,6.19,5.63,5.86,1
alcohol,4.11,5.17,4.0,1
alcoholic,2.49,5.48,3.27,1
alcoholism,2.0,5.0,3.0,1
alcove,5.5,3.32,5.33,1
alderman,4.44,3.05,5.04,1
ale,5.95,4.1,5.17,1
alert,5.38,5.14,6.58,1
alfalfa,4.79,3.67,5.73,1
algebra,5.4,4.6,4.54,1
algorithm,5.3,3.7,4.04,1
alias,5.0,4.71,5.94,1
alibi,4.16,4.5,5.17,1
alien,4.45,4.86,3.56,1
alienate,2.79,4.27,3.71,1
alienation,2.53,5.14,3.33,1
alight,5.67,3.86,5.88,1
align,5.95,3.32,5.95,1
alignment,6.0,3.92,6.32,1
alimony,3.86,3.09,4.32,1
alive,6.57,5.93,6.77,1
allegation,3.26,5.9,3.96,1
alleged,3.62,5.09,4.27,1
allegiance,5.8,5.17,7.05,1
allegro,5.0,3.89,5.36,1
allergic,3.0,5.4,3.81,1
allergy,2.9,3.9,3.5,1
alleviate,6.25,3.45,5.84,1
alley,4.17,4.08,4.63,1
alleyway,3.46,3.7,5.2,1
alliance,6.14,4.4,5.78,1
allied,6.0,4.09,6.12,1
alligator,4.23,5.36,4.1,1
allow,6.39,2.95,6.11,1
allowance,6.74,4.05,5.7,1
alloy,5.2,3.32,5.9,1
allure,6.9,4.25,5.77,1
alluring,6.74,4.35,5.86,1
almanac,5.55,3.24,5.88,1
almighty,6.15,4.59,5.81,1
almond,6.05,2.89,6.46,1
aloha,7.1,3.82,6.33,1
aloof,4.59,3.09,4.63,1
alpha,5.5,3.67,6.32,1
alphabet,5.95,3.15,5.79,1
alphabetical,6.32,3.0,6.14,1
alpine,5.84,3.52,5.74,1
altar,5.59,4.05,5.68,1
altar boy,4.76,3.11,4.62,1
alter,4.57,4.17,5.57,1
alteration,5.05,4.05,6.15,1
altercation,3.61,5.62,4.4,1
alternate,5.26,3.875,5.365,1
alternative,5.33,3.61,6.33,1
altimeter,4.5,3.61,5.0,1
altitude,5.27,4.15,5.46,1
aluminum,5.1,4.05,6.0,1
alumnus,4.95,3.23,6.1,1
alzheimers,2.26,4.5,2.0,1
amaretto,6.0,4.04,5.19,1
amateur,4.58,3.55,5.25,1
amaze,7.24,5.0,5.83,1
amazed,7.55,5.95,6.11,1
amazement,7.29,6.3,6.43,1
amazing,7.72,6.05,6.83,1
ambassador,5.5,3.91,6.2,1
amber,6.15,3.36,6.21,1
ambience,6.35,3.85,5.57,1
ambient,6.33,3.2,4.86,1
